pm2_5_nowcast,pm10_nowcast,co_ppm_8hr_avg,no2_ppb,so2_ppb,pm2_5_pm10_ratio,traffic_index,hour,is_rush_hour,is_weekend,season,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,pm2_5_nowcast_lag_1h,pm10_nowcast_lag_1h,co_ppm_8hr_avg_lag_1h,no2_ppb_lag_1h,pm2_5_nowcast_ma_6h,pm10_nowcast_ma_6h,no2_ppb_ma_6h
-54.423206,-10.041846,0.015710505,-0.4659179,-0.23655167,-2.0045972,-0.17411716,0.04084785,0.0061458587,0.0063202023,0.0027640606,-0.0038695894,-0.030060954,0.022314914,-0.0049940255,-14.317508,0.07069348,0.1058762,0.01853736,-2.4456923,-0.05797581,0.03960073
-54.75418,-10.158719,-0.0011429592,-0.48642287,-0.19897817,-1.9847895,-0.17489332,-0.051133867,0.004823586,0.0074620973,0.0061727683,0.0025334863,-0.085336015,0.01847808,-0.0027839432,-14.146173,0.0059309537,0.108837776,0.03386263,-2.5592086,-0.08084154,0.016075322
-55.10462,-10.266989,-0.007830873,-0.5317248,-0.1950441,-1.9289471,-0.19458129,-0.09334789,0.0035887859,0.002102991,-0.002375821,0.010463049,-0.052834686,0.013704952,-0.0057102116,-14.220977,0.00865704,0.1008349,0.037683044,-2.532363,-0.092256986,0.049053486
-55.088924,-10.334762,-0.018888712,-0.5310787,-0.1844007,-1.917914,-0.19818294,-0.09623949,0.0051985984,0.0031599666,-0.00158719,0.0066788103,-0.036471296,0.016026648,-0.009441777,-14.439404,0.023157598,0.09818085,0.14587398,-2.4794593,-0.10733565,-0.008689818
-55.55729,-10.426916,0.00029584713,-0.5320943,-0.20420271,-2.1027608,-0.18142176,-0.080471076,0.004557219,0.00075723813,-0.002247616,-0.007052319,-0.004485977,0.023083152,-0.002677894,-14.469902,0.0518197,0.0965344,0.13470002,-2.5108638,-0.13913041,0.07462705
-55.629448,-10.442132,-0.0022823515,-0.5339045,-0.21902163,-2.113814,-0.183601,-0.078864776,0.0049261632,-0.00040427636,-0.00069141353,-0.025778392,0.0024228415,0.021369608,-0.00080756744,-14.456607,0.067198776,0.107990384,0.16700849,-2.4517732,-0.14772911,0.09439405
-56.238922,-10.528927,0.013321231,-0.5001131,-0.23537946,-2.1184044,-0.13464141,-0.077718884,-0.008818289,0.005104854,0.00090216775,-0.08747625,-0.003208151,0.019820662,0.00083797827,-14.782943,0.035824694,0.11300533,0.1856999,-2.5103438,-0.15128662,0.06802712
-56.224216,-10.501305,0.008631467,-0.47056335,-0.20709775,-2.0877733,-0.14392303,-0.07629372,-0.014323309,0.0052322764,0.0030443475,-0.11310278,0.0026566014,0.025665972,0.002438654,-14.886445,0.05592716,0.1195195,0.09022047,-2.5072265,-0.13651474,0.16814652
-56.22358,-10.514208,-0.013562763,-0.51708513,-0.28207576,-1.9540211,-0.20816204,-0.095607966,-0.006702681,0.014266296,0.00215042,-0.096647225,0.003470709,0.023768784,0.008223878,-14.907221,0.058332853,0.1320402,0.074053355,-2.5231385,-0.118679285,-0.0729792
-56.321278,-10.518247,-0.054638337,-0.52633715,-0.24442758,-1.9752377,-0.29891998,-0.053522952,-0.008699983,0.0073098443,-0.003871535,-0.033882976,0.04222584,0.013689709,-0.001028608,-14.934865,0.051346034,0.11766571,0.07678989,-2.5143359,-0.08569661,0.03068983
-56.358624,-10.490925,-0.017705647,-0.5084633,-0.23010466,-1.9657499,-0.23411049,-0.021281047,-0.0077980924,0.0073433234,-0.0033309732,-0.014754768,0.052281782,0.013919458,-0.00087888143,-14.996917,0.051710855,0.096927956,0.07536832,-2.5222318,-0.04864159,0.04439919
-56.3593,-10.443616,-0.03025305,-0.5184172,-0.21353227,-1.958663,-0.23243497,-0.03330248,-0.00958658,-0.008069387,-0.0041687107,-0.000561492,0.04879926,0.015376775,-0.003372382,-15.006698,0.05319125,0.085510276,0.08384392,-2.5491357,-0.028133398,0.034624368
-55.07801,-10.291543,-0.018466156,-0.4703835,-0.17435907,-1.9242799,-0.16334563,0.07352403,0.0065411734,-0.0014673696,-0.0052661626,0.0076574576,0.058725122,0.016875546,-0.010029448,-14.997966,0.100247145,0.08302623,0.06685612,-2.4339986,-0.037976637,0.06301905
-54.253975,-10.089785,0.0045335665,-0.45073944,-0.18240486,-1.984497,-0.16850907,0.09283182,0.005142499,0.0044707037,0.0017158121,0.0016336396,0.041720763,-0.012554984,-0.006711996,-14.694659,0.061345324,0.101667486,0.033497274,-2.4036248,-0.0682573,0.04072143
-53.083492,-9.903954,0.010066732,-0.45160097,-0.2233454,-1.9772726,-0.1726938,-0.010271599,0.0037707111,0.00444426,-0.004014186,0.0059188507,0.026547974,0.012507583,-0.003800737,-14.265161,0.06887604,0.1134889,0.03114479,-2.4925842,-0.02346418,0.01735144
-52.48541,-9.693432,0.005294071,-0.452628,-0.20992287,-2.0311573,-0.17583692,-0.032072738,0.007216052,0.0063218507,-0.0031108712,0.01057077,0.025431555,0.008468891,-0.0040093022,-13.804231,0.05384049,0.105049476,0.07710894,-2.6855235,-0.038988598,0.022808721
