datetime,datetime_id,aqi_epa_calc,pm2_5_nowcast,pm10_nowcast,co_ppm_8hr_avg,no2_ppb,so2_ppb,pm2_5_nowcast_lag_1h,pm10_nowcast_lag_1h,co_ppm_8hr_avg_lag_1h,no2_ppb_lag_1h,pm2_5_pm10_ratio,traffic_index,hour,is_rush_hour,is_weekend,season,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,pm2_5_nowcast_ma_6h,pm10_nowcast_ma_6h,no2_ppb_ma_6h
2025-09-25 18:00:00,1758823200,32,7.626637362637363,28.96874236874237,0.08029066627990003,0.026572909760789475,0.0572456529204258,7.683054945054945,28.90602686202686,0.08022847197429489,0.02125832780863158,0.2632712620229796,0.0480600123684337,18,1,0,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,7.64710175010175,28.366275539275538,0.021258327808636318
2025-09-25 19:00:00,1758826800,32,7.573394383394383,28.98994627594628,0.08038013878971795,0.031887491712947365,0.05342927605906409,7.626637362637363,28.96874236874237,0.08029066627990003,0.026572909760789475,0.26124209790889563,0.0512845505436556,19,1,0,3,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,7.648711843711844,28.623163207163213,0.02302985512602228
2025-09-25 20:00:00,1758830400,31,7.516739926739928,28.940417582417584,0.0805023451445912,0.031887491712947365,0.05342927605906409,7.573394383394383,28.98994627594628,0.08038013878971795,0.031887491712947365,0.25973156418125204,0.0513334330856049,20,1,0,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,7.631150997150997,28.797345543345546,0.025687146102101228
2025-09-25 21:00:00,1758834000,31,7.4283785103785105,28.68551404151404,0.08063873616565512,0.031887491712947365,0.04961289919770237,7.516739926739928,28.940417582417584,0.0805023451445912,0.031887491712947365,0.2589592258876054,0.051387989494030464,21,1,0,3,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,7.589003256003257,28.860155474155476,0.027458673419487194
2025-09-25 22:00:00,1758837600,30,7.314163614163614,28.28291819291819,0.08078931185290966,0.031887491712947365,0.04961289919770237,7.4283785103785105,28.68551404151404,0.08063873616565512,0.031887491712947365,0.25860710568384776,0.05144821976893228,22,1,0,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,7.523728123728124,28.79559422059422,0.029230200736873158
2025-09-25 23:00:00,1758841200,30,7.1970280830280835,27.841496947496946,0.08091151820778293,0.031887491712947365,0.04961289919770237,7.314163614163614,28.28291819291819,0.08078931185290966,0.031887491712947365,0.25850004030315343,0.051497102310881594,23,0,0,3,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,7.442723646723647,28.618172568172568,0.03100172805425912
2025-09-26 00:00:00,1758844800,29,7.063433455433455,27.260652014652013,0.08098462379507318,0.031887491712947365,0.04579652233634064,7.1970280830280835,27.841496947496946,0.08091151820778293,0.031887491712947365,0.2591072822336389,0.05152634454579769,0,0,0,3,0.0,1.0,-0.433883739117558,-0.9009688679024191,7.348856328856329,28.333490842490843,0.031887491712947365
2025-09-26 01:00:00,1758848400,29,6.9166105006105,26.630090354090353,0.08101190199928596,0.031887491712947365,0.04579652233634064,7.063433455433455,27.260652014652013,0.08098462379507318,0.031887491712947365,0.25972914130755537,0.0515372558274828,1,0,0,3,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,7.2393923483923475,27.94018152218152,0.031887491712947365
2025-09-26 02:00:00,1758852000,28,6.7831794871794875,26.129714285714282,0.0809966262049268,0.026572909760789475,0.04198014547497892,6.9166105006105,26.630090354090353,0.08101190199928596,0.031887491712947365,0.2595963894977607,0.04834239633844441,2,0,0,3,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,7.117132275132275,27.47173097273097,0.031001728054259117
2025-09-26 03:00:00,1758855600,28,6.691450549450549,25.859474969474967,0.08092679400214209,0.026572909760789475,0.04198014547497892,6.7831794871794875,26.129714285714282,0.0809966262049268,0.026572909760789475,0.2587620420503227,0.04831446345733052,3,0,0,3,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,6.994310948310948,27.000724460724456,0.03011596439556614
